letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url
가로등,가로등,3,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(1).png,
가위,가위,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(2).png,
가지,가지,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(3).png,
감자튀김,감자튀김,4,ㄱ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(4).png,
개구리,개구리,3,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(5).png,
개미,개미,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(6).png,
거미줄,거미줄,3,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(7).png,
거북이,거부기,3,ㄱ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(8).png,
거울,거울,2,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(9).png,
경찰차,경ː찰차,3,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(10).png,
계란,게란,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(11).png,
고구마,고구마,3,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(12).png,
고래,고래,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(13).png,
고슴도치,고슴도치,4,ㄱ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(14).png,
고추,고추,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(15).png,
곰돌이,곰도리,3,ㄱ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(16).png,
구급차,구ː급차,3,ㄱ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(17).png,
구름,구름,2,ㄱ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(18).png,
귀,귀,1,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(19).png,
귀신,귀신,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(20).png,
귤,귤,1,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(21).png,
그네,그네,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(22).png,
그릇,그륻,2,ㄱ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(23).png,
기린,기린,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(24).png,
기차,기차,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(25).png,
당근,당근,2,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(26).png,
딸기,딸기,2,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(27).png,
모기,모기,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(28).png,
무지개,무지개,3,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(29).png,
바구니,바구니,3,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(30).png,
변기,변기,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(31).png,
불가사리,불가사리,4,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(32).png,
비둘기,비둘기,3,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(33).png,
비행기,비행기,3,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(34).png,
사과,사과,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(35).png,
선풍기,선풍기,3,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(36).png,
수갑,수갑,2,ㄱ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(37).png,
수건,수건,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(38).png,
시계,시계,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(39).png,
안경,안ː경,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(40).png,
야구공,야ː구공,3,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(41).png,
왕관,왕관,2,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(42).png,
자전거,자전거,3,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(43).png,
장갑,장갑,2,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(44).png,
조개,조개,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(45).png,
지구,지구,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(46).png,
지우개,지우개,3,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(47).png,
청진기,청진기,3,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(48).png,
체중계,체중게,3,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(49).png,
튀김,튀김,2,ㄱ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(50).png,
핫도그,핟도그,3,ㄱ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(51).png,
햄버거,햄버거,3,ㄱ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(52).png,
고깔,고깔,2,ㄲ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(1).png,
까마귀,까마귀,3,ㄲ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(2).png,
까치,까치,2,ㄲ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(3).png,
꼬리,꼬리,2,ㄲ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(4).png,
꽃,꼳,1,ㄲ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(5).png,
꽃게,꼳께,2,ㄲ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(6).png,
꿀벌,꿀벌,2,ㄲ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(7).png,
도깨비,도깨비,3,ㄲ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(8).png,
도끼,도끼,2,ㄲ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(9).png,
돈가스,돈까스,3,ㄲ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(10).png,
물개,물깨,2,ㄲ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(11).png,
미끄럼틀,미끄럼틀,4,ㄲ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(12).png,
조끼,조끼,2,ㄲ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(13).png,
코끼리,코끼리,3,ㄲ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(14).png,
태권도,태꿘도,3,ㄲ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(15).png,
토끼,토끼,2,ㄲ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/rr/rr+(16).png,
레미콘,레미콘,3,ㅋ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(1).png,
로켓,로켇,2,ㅋ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(2).png,
리모컨,리모컨,3,ㅋ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(3).png,
리코더,리코더,3,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(4).png,
마스크,마스크,3,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(5).png,
마이크,마이크,3,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(6).png,
마카롱,마카롱,3,ㅋ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(7).png,
매니큐어,매니큐어,4,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(8).png,
바퀴,바퀴,2,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(9).png,
브로콜리,브로콜리,4,ㅋ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(10).png,
스케이트,스케이트,4,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(11).png,
스케치북,스케치북,4,ㅋ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(12).png,
스키,스키,2,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(13).png,
아보카도,아보카도,4,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(14).png,
아이스크림,아이스크림,5,ㅋ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(15).png,
에어컨,에어컨,3,ㅋ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(16).png,
초콜릿,초콜릳,3,ㅋ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(17).png,
치킨,치킨,2,ㅋ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(18).png,
카드,카드,2,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(19).png,
카레,카레,2,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(20).png,
카메라,카메라,3,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(21).png,
칼,칼,1,ㅋ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(22).png,
캐리어,캐리어,3,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(23).png,
커피,커피,2,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(24).png,
컴퓨터,컴퓨터,3,ㅋ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(25).png,
컵,컵,1,ㅋ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(26).png,
케익,케익,2,ㅋ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(27).png,
케첩,케첩,2,ㅋ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(28).png,
코,코,1,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(29).png,
코끼리,코끼리,3,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(30).png,
코뿔소,코뿔쏘,3,ㅋ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(31).png,
코스모스,코쓰모쓰,4,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(32).png,
코알라,코알라,3,ㅋ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(33).png,
콜라,콜라,2,ㅋ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(34).png,
콩,콩,1,ㅋ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(35).png,
쿠키,쿠키,2,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(36).png,
크레파스,크레파쓰,4,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(37).png,
파프리카,파프리카,4,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(38).png,
팝콘,팝콘,2,ㅋ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(39).png,
포크,포크,2,ㅋ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(40).png,
포크레인,포크레인,4,ㅋ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(41).png,
헬리콥터,헬리콥터,4,ㅋ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/z/z+(42).png,
국자,국짜,2,ㄱ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(1).png,
낙타,낙타,2,ㄴ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(2).png,
낚싯대,낙싣때,3,ㄴ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(3).png,
닭,닥,1,ㄷ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(4).png,
독수리,독쑤리,3,ㄷ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(5).png,
떡,떡,1,ㄸ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(6).png,
떡볶이,떡뽀끼,3,ㄸ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(7).png,
목걸이,목꺼리,3,ㅁ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(8).png,
목도리,목또리,3,ㅁ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(9).png,
믹서기,믹써기,3,ㅁ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(10).png,
박쥐,박쮜,2,ㅂ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(11).png,
백원,배권,2,ㅂ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(12).png,
북,북,1,ㅂ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(13).png,
색종이,색쫑이,3,ㅅ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(14).png,
세탁기,세탁끼,3,ㅅ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(15).png,
수박,수박,2,ㅅ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(16).png,
숟가락,숟까락,3,ㅅ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(17).png,
식빵,식빵,2,ㅅ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(18).png,
액자,액짜,2,ㅈ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(19).png,
약,약,1,ㅇ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(20).png,
옥수수,옥쑤수,3,ㅅ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(21).png,
욕조,욕쪼,2,ㅈ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(22).png,
책상,책쌍,2,ㅊ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(23).png,
책장,책짱,2,ㅊ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(24).png,
축구공,축꾸공,3,ㅊ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(25).png,
치약,치약,2,ㅊ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(26).png,
킥보드,킥뽀드,3,ㅋ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(27).png,
태극기,태극끼,3,ㅌ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(28).png,
택시,택씨,2,ㅌ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(29).png,
트럭,트럭,2,ㅌ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(30).png,
학교,학꾜,2,ㅎ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(31).png,
호박,호박,2,ㅎ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/er/er+(32).png,
